username,handle,postDate,responding,retweets,likes
Alfen,@kingofsoq,2023-07-08T05:02:05.000Z,"Replying to @kingofsoq @IndiHomeCare and 2 others Dahlah, ngga usah diresolv yg di DM.. asalkan ngga LOS itu ONT/ONU kalian.Bukannya beres, nambah punyeng kepala kalo ngeluh ke @IndiHomeCare",,
Audrey,@AudreyAshd,2023-07-08T05:00:09.000Z,"Wifi bermasalah, gak konek, kedip2 merah @IndiHome 359",,
Alfen,@kingofsoq,2023-07-08T04:57:38.000Z,Replying to @kingofsoq Kalian sangat mampu untuk Profiling TIAP NIK yg kedaftar di Layanan Kalian. Bahkan tau secara SPESIFIK DESTINASI WEBSITE TUJUAN KAMI. Nanya verif data modelan kayak tiap kali komplen kesannya kek ilang recordnya.@IndiHomeCare @IndiHome @txtfrombrand,,
Alfen,@kingofsoq,2023-07-08T04:57:37.000Z,Kalo dipikir-pikir kita yang bego tiap kali komplain ke mereka selalu ngelakuin SOP KONYOL kayak gini.DATA KAMI KEMANA HEY?  @IndiHomeCare @IndiHome @txtfrombrand ,,
Muthy Syahidah,@MuthySyahidah,2023-07-08T04:44:32.000Z,"@IndiHomeCare @IndiHome Mau pasang indihome, udah bisa gak yaa... 133",,
The DOH-ID Media,@TheDOHIDMedia,2023-07-08T04:25:44.000Z,"Replying to @TheDOHIDMedia Trending #1:Indonesia's internet service company, @IndiHome spreads on social media as a data user allegedly leaked when the customers, which includes ID number, IP address, E-mail address, & mobile phone numbers w/ 35M data from @myindihomeresmi.",,
Curren,@Curren43924228,2023-07-08T03:34:11.000Z,@IndiHome misi admin 137,,
Yasarah,@Yaseeeh,2023-07-08T03:24:03.000Z,"remote tv hilang, hrs gmn ya ? @IndiHomeCare @IndiHome 1127",,
IndiHome,@IndiHome,2023-07-08T03:04:58.000Z,"Nikmati kemudahan transaksi dengan myIndiHome, Sobat bisa lakukan pembayaran dengan mudah menggunakan berbagai metode pembayaranCek informasi mengenai myIndiHome di http://my.indihome.co.id#IndiHomebyTelkomsel#BersatuLebihMudah ",1.0,4.0
w,@ilovembaktaylor,2023-07-08T03:01:07.000Z,@indihome minimal pagi pagii nggaa trouble 251,,
Kholid Ansori Syam,@kholidansori,2023-07-08T02:32:30.000Z,"@IndiHome saya ingin berhenti berlangganan. Agar tdk menjadi persoalan, apa yg hrs sy lakukan. 236",,
Princess quinn,@aiponush,2023-07-08T02:00:01.000Z,@IndiHome @IndiHomeCare  sy ada DM tolong dibantu ya 141,,
smith16,@smith_jkt2,2023-07-08T01:00:47.000Z,"@IndiHomeCare @IndiHome saya mau upgrade paket, sudah 2x nelp 147 & katanya akan dikirim link melalui wa, sms atau email sampai hari ini gakbada yg masuk juga, susah juga ya mau upgrade di indihome 148",,
Ran,@kaiserrmchl,2023-07-07T23:03:50.000Z,Replying to @aikudepok and @IndiHome grebek aja ga sie awoakaok,,
Aku,@ReyMarchell,2023-07-07T22:08:47.000Z,@IndiHome @IndiHomeCare mantul sekali ya ,,
ROXY,@ZeffVal,2023-07-07T20:23:08.000Z,@IndiHome @IndiHomeCare Internet apa ini? saya dah pilih yang 50 mbps masa cuma dapat segini? Internet terburuk se Indonesia memang! salah saya percaya ke indihomo ,,1.0
CAY,@chyobudii,2023-07-07T17:52:07.000Z,"@IndiHome min ini aduh, parah bener elah 150",,
michaa,@aikudepok,2023-07-07T17:41:11.000Z,"p kenapa lemot banget, jangan bikin aku marah pls @IndiHome 5158",,
Fithozee ,@fithozee,2023-07-07T17:10:46.000Z,Replying to @fithozee @IndiHomeCare @indihome @Telkomsel  lu semua anjing,,
Pandu Ernowo,@panduernowo,2023-07-07T16:59:42.000Z,"Replying to @harith0810 @IndiHomeCare and @IndiHome Iya Mba, putus di tiang kayaknya",,
Harith,@harith0810,2023-07-07T16:44:09.000Z,"Replying to @panduernowo @IndiHomeCare and @IndiHome setauku, kalo kedip merah bagian LOS itu ada kabel yg putus(bermasalah)",,
Pandu Ernowo,@panduernowo,2023-07-07T16:40:55.000Z,Knp ya udh restart modem berulang masih red blinking no internet @IndiHomeCare @IndiHome ,,
BunnJo,@BunnJo3,2023-07-07T16:28:37.000Z,@IndiHome malam 131,,
Novario Estabilizo,@NEstabilizo,2023-07-07T13:56:54.000Z,"@IndiHome malam admin, bisa cek lokasi saya udah bisa pasang atau belum ya? 243",,
Devi Fadillawati,@DFadillawati,2023-07-07T13:54:09.000Z,cek dm ya @IndiHome 166,,
Jamur Payung,@payung_jamur,2023-07-07T13:51:19.000Z,tolong ini @IndiHome agak lelet 2124,,
Aisyah Putri,@AisyahP199,2023-07-07T13:48:00.000Z,@IndiHome mau nanya dong 133,,
Anze Radha,@AnzeRadha,2023-07-07T13:44:31.000Z,malam @IndiHome 159,,
Rada,@Rada_1212,2023-07-07T13:05:22.000Z,@IndiHome lag nih 244,,
sari evalia,@sarievalia,2023-07-07T13:05:04.000Z,"Ini kenapa ya indihome di rmh gw lemot bgt @IndiHome, mohon solusinya 282",,
Ubiquotous,@UbiquitousSon,2023-07-07T12:41:36.000Z,Replying to @haemaniezz and @IndiHome Sampai sekarang bulan Juli masih suka error error?,,
Mas Fakhri,@somedaywyou,2023-07-07T12:26:49.000Z,"Tolong ini @IndiHome @IndiHomeCare udh 2 hari gada internet, Mohon bantuannya ",,
Delia Mustikasari,@sailorko3,2023-07-07T11:55:35.000Z,@IndiHome bagaimana cara menonaktifkan add on? Saya sudah buka my indihome dan cek semua fitur tidak ada. Tp fitur untuk berlangganan add on malah tersedia dgn mudahnya. Tlg dibantu ya min. Trims 239,,
Didik Rusmanto,@di2k83,2023-07-07T11:05:52.000Z,@IndiHome  kenapa smart tv saya sekarang tidak bisa connect ke wifi ya?? Apa gara2 sudah join dengan @Telkomsel 157,,
wisnu bejir,@dokjamuslim,2023-07-07T10:57:26.000Z,KACAUUUU BANGET LUUUUU @IndiHome 140,,
pau || exo besok comeback,@bobablubee,2023-07-07T10:44:34.000Z,"Replying to @bobablubee @IndiHome wah lu bener"" ngajak gelud gue lagi pms nih!! bisa""nya gada sinyal waktu part sehun!!",,
pau || exo besok comeback,@bobablubee,2023-07-07T10:41:38.000Z,"@IndiHome kamu kenapa lemot banget sih cintahh muak aku lama"" 364",,
